Startup,Sector,Business model,Employee count 2Q 2023,Employment taxes 2Q 2023,Turnover 2Q 2023,Year founded
 CapOne Research ...,FinTech,"B2B, B2C",5,-,-,2016
 ReportAuto,Transportation & Logistics,"B2B, B2C",-,-,€ 30.2K,2017
 KOMTERE OÜ,Consumer products and services,"B2B, B2G, B2C, B2B2C",-,-,-,2016
 XENDIZ OÜ,AdTech & Creative Tech,"B2B, B2B2C",-,-,€ 12.9K,2017
 Nowescape,AdTech & Creative Tech,"B2B, B2C",-,-,€ 1.6K,2016
 Toolabs OÜ,AdTech & Creative Tech,"B2B, B2C, B2B2C",-,-,-,2017
 Fanvestory,FinTech,B2B2C,-,-,€ 32,2017
 DataMe OÜ,FinTech,"B2B, B2C",-,-,-,2015
 Covisual,PropTech & Construction,B2B,-,-,-,2016
 poirot.systems,Business software & HR,B2B,-,-,-,2019
 Medihub,"HealthTech, Life sciences & Wellness",B2B,-,-,-,2015
 TempID,"HealthTech, Life sciences & Wellness",B2B2C,3,-,€ 500,2017
 MediKeep,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2014
 Openly,Consumer products and services,"B2B, B2G",-,-,-,2018
 Connected Baltic...,Communication,B2B,-,-,€ 2K,2016
 VRNET,AdTech & Creative Tech,B2B,-,-,-,2017
 Wellness Orbit (...,"HealthTech, Life sciences & Wellness",B2B,-,-,€ 386,2015
 naturaldyer ou,Advanced Manufacturing & Industry,B2B2C,-,-,-,2016
 TUGE Energia OÜ,CleanTech,B2B2C,-,-,€ 73.9K,2015
 Hostelpro,TravelTech,B2B,-,-,-,2015
 Silkyware OÜ,Consumer products and services,B2B2C,-,-,-,2015
 Ehitustark,Business software & HR,"B2C, B2B2C",-,-,-,2018
 Marina Ahoy,Business software & HR,B2B2C,-,-,-,2015
 Ordly OÜ,AgTech & FoodTech,B2B,-,-,-,2017
 Clerk.AI OÜ,FinTech,"B2B, B2C",-,-,€ 15,2017
 Idyllum Labs,CyberTech,B2B,-,-,€ 237,2020
 DigiFlak,CyberTech,"B2B, B2C",-,-,€ 4,2013
 Tap2pay,FinTech,B2B,-,-,€ 264.9K,2014
 OneAire,Transportation & Logistics,"B2B, B2G",-,-,-,2017
 Zelos,Communication,B2B,-,-,€ 165,2018
 Facelet,AdTech & Creative Tech,B2B2C,-,-,-,2015
 Lainergy OÜ,CleanTech,"B2B, B2G, B2C",-,-,-,2016
 Vibromera OU,Advanced Manufacturing & Industry,B2B,-,-,-,2017
 KomraVision Ltd.,AgTech & FoodTech,"B2B, B2G",-,-,-,2018
 Tanibox,AgTech & FoodTech,B2B,-,-,-,2017
 ZABRA Solutions,FinTech,"B2B, B2B2C",-,-,€ 106,2017
 OktoMaxAI,AdTech & Creative Tech,"B2B, B2B2C",-,-,-,2019
 Just-get.com oü,Consumer products and services,"B2B, C2C, B2C",-,-,-,2016
 HalloCasa OÜ,PropTech & Construction,"B2B, B2C",-,-,€ 68,2018
 Ridline,Communication,B2B,1,-,€ 42.9K,2016
 Natufia Labs,AgTech & FoodTech,"B2B, B2C",-,-,-,2014
 Beampat,Consumer products and services,B2C,-,-,-,2018
 Book It Up,Business software & HR,B2B2C,-,-,-,2018
 Operose Labs OÜ,Business software & HR,B2B,-,-,-,2017
 VERTIGO GAMES OÜ,Gaming,B2C,-,-,€ 3.1M,2017
 INTEPIA,Transportation & Logistics,"B2B, B2G",-,-,-,2017
 FlipSide oü,EdTech,B2C,-,-,-,2016
 Precision Naviga...,SpaceTech,B2B,-,-,€ 1.4K,2018
 Fully Verified,CyberTech,B2B,-,-,€ 87.4K,2018
 SupplyTank,Transportation & Logistics,-,-,-,-,2018
 ChessMove,Gaming,-,-,-,-,2019
 Black Insurance,FinTech,B2B,-,-,-,2017
 ChatCreate,Business software & HR,"B2B, B2B2C",-,-,€ 13.4K,2018
 Polybius,FinTech,B2C,-,-,-,2018
 Artiel Investmen...,"HealthTech, Life sciences & Wellness","B2B, B2B2C",-,-,-,2013
 TRAPMINE,CyberTech,B2B,-,-,-,2017
 3cular,CleanTech,B2B,-,-,-,2018
 Some move,TravelTech,"B2B, B2G, B2C",-,-,€ 20,2017
 NAMESONG,Gaming,B2C,-,-,-,2018
 Gate Production ...,FinTech,"B2B, B2B2C",-,-,-,2018
 Vee Security,CyberTech,B2C,-,-,-,2018
 ETHR,"HealthTech, Life sciences & Wellness",-,-,-,€ 932,2017
 Goslim school (V...,"HealthTech, Life sciences & Wellness",B2C,1,-,€ 162.7K,2017
 DlabSolutions PL...,Consumer products and services,"B2B, B2B2C",1,-,-,2018
 Metatask,Business software & HR,B2B,-,-,-,2016
 Marinemon,Business software & HR,B2B,-,-,-,2018
 Cora Health,"HealthTech, Life sciences & Wellness",B2C,-,-,€ 1.4K,2016
 patron.ai,Business software & HR,B2B,-,-,-,2019
 Workurious,Business software & HR,"B2B, B2C",-,-,-,2018
 MeetnGreetMe,TravelTech,"B2C, B2B2C",-,-,-,2016
 Najafov Digital ...,EdTech,"B2B, B2C",-,-,-,2017
 Lively,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2018
 CureAssist,"HealthTech, Life sciences & Wellness","B2B, B2C, B2B2C",-,-,-,2018
 BitOfProperty OÜ,FinTech,B2B2C,-,-,-,2017
 Lookastic OÜ,Consumer products and services,B2C,-,-,€ 23.1K,2015
 Aenbee OÜ,Consumer products and services,"B2C, B2B2C",2,-,-,2018
 Betalgo OÜ,Business software & HR,"B2B, B2C",-,-,-,2018
 Velvet,FinTech,"B2B, B2C, B2B2C",-,-,-,2016
 TechNovator,Consumer products and services,"B2B, B2C",-,-,-,2013
 Crassula,FinTech,B2B,-,-,-,2017
 Vumonic - a next...,Business software & HR,"B2B, B2C",-,-,€ 7.8K,2018
 talents.fund,Business software & HR,"B2B, B2C, B2B2C",-,-,-,2019
 biggid.com,Business software & HR,B2B2C,-,-,-,2018
 Influreply,Business software & HR,B2B,-,-,-,2018
 Baby-Tracker,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,-,2018
 Meredot,Consumer products and services,B2B,-,-,-,2019
 AdZillah,AdTech & Creative Tech,"B2B, C2C, B2C",-,-,-,2019
 CompAct,CleanTech,B2B,-,-,-,2018
 Scoremusic,AdTech & Creative Tech,B2C,-,-,-,2016
 GymLink,Consumer products and services,"B2B, B2B2C",-,-,-,2018
 WorkStart,Consumer products and services,"C2C, B2C",-,-,€ 35K,2018
 Beautify,"HealthTech, Life sciences & Wellness","B2B, B2C, B2B2C",-,-,€ 1.8K,2019
 Smarts,Consumer products and services,"B2B, B2C",-,-,-,2018
 Bioengine - Wast...,CleanTech,"B2B, B2G",-,-,-,2018
 QProved,Business software & HR,"B2B, B2C",-,-,-,2019
 Catenaccio Footb...,Gaming,"B2C, B2B2C",-,-,€ 74,2018
 Ebitly,FinTech,B2B,-,-,-,2020
 ShufflUp,FinTech,B2C,-,-,-,2018
 Zirity,AdTech & Creative Tech,B2B,-,-,-,2018
 LevelUP,Business software & HR,"B2B, B2C",-,-,-,2018
 GoInvite,Communication,C2C,-,-,-,2019
 tarla.in,AgTech & FoodTech,"B2B, B2C, B2B2C",-,-,€ 3.5K,2017
 Midifi,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,-,2018
 Pacsent,Business software & HR,B2B,-,-,-,2019
 AddLix,Business software & HR,B2B2C,-,-,€ 325,2019
 FRAPGIO,CyberTech,"B2B, B2C",-,-,-,2019
 Nguyen,Business software & HR,B2B,-,-,-,2018
 SignLang,"HealthTech, Life sciences & Wellness",B2C,1,-,€ 5.4K,2018
 Moxie Pop-Up Caf...,AgTech & FoodTech,"B2B, B2C, B2B2C",-,-,-,2018
 cyex,CyberTech,B2B,-,-,€ 200,2018
 ForPeeps Payment...,FinTech,B2B2C,-,-,-,2018
 Geme.io,Communication,"B2B, C2C, B2B2C",-,-,-,2017
 IPDx,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2017
 Vinicius Miguel,Business software & HR,B2B,-,-,-,2018
 PrimeSearch,Business software & HR,"B2B, B2G, B2C, B2B2C",-,-,€ 1K,2018
 Scoriff,FinTech,B2B,-,-,-,2018
 VooreMET,AgTech & FoodTech,B2B,-,-,€ 315,2017
 Sayv-Sustainable...,FinTech,"B2B, B2B2C",-,-,-,2018
 Savas Cloud Mark...,AdTech & Creative Tech,"B2B, B2C",-,-,€ 1.1K,2016
 Hiwe,Communication,B2C,-,-,-,2019
 Bluechecked,Consumer products and services,"B2B, B2C",1,-,-,2019
 Takeout,AgTech & FoodTech,"B2B, B2C",-,-,-,2018
 truck4goods,Transportation & Logistics,"B2B, B2B2B, B2C, B2B2C",-,-,€ 10.3K,2019
 SmartCredit.io,FinTech,"C2C, B2B2C",-,-,-,2017
 Mitogro,"HealthTech, Life sciences & Wellness",B2B,-,-,-,2015
 Bizplay,EdTech,"B2B, B2G",-,-,€ 1.7K,2013
 Unsinkable Robot...,Advanced Manufacturing & Industry,B2B,-,-,€ 2.7K,2019
 Scautor,PropTech & Construction,B2B,-,-,€ 13.5K,2018
 Xperience by Hor...,TravelTech,"B2B, B2C, B2B2C",-,-,-,2018
 Gattai,Communication,"B2B, B2C",1,-,-,2019
 Groveneer,Consumer products and services,"B2B, B2C",-,-,-,2018
 HopKid,Communication,"C2C, B2C",-,-,-,2018
 Health Sciences ...,"HealthTech, Life sciences & Wellness",B2B2C,-,-,€ 3.3K,2019
 Magic Carpet,Consumer products and services,"B2B, B2C, B2B2C",-,-,€ 324,2019
 Cyberconnecting,CyberTech,B2B,-,-,€ 19,2018
 Hive.id,CyberTech,B2B2C,-,-,-,2018
 Cognitive Billbo...,AdTech & Creative Tech,B2B,-,-,-,2019
 Cachet,FinTech,"B2C, B2B2C",-,-,-,2018
 REXR,Gaming,"B2B, B2C",-,-,-,2018
 autom8,CyberTech,"B2B, B2C",-,-,-,2019
 T-COM,AdTech & Creative Tech,B2B2C,-,-,-,2019
 Drishti (Omnivid...,SpaceTech,"B2B, B2G, B2C, B2B2C",-,-,-,2018
 Iriscan,CyberTech,B2B,-,-,€ 630,2018
 Audiosdroid OÜ,Gaming,B2C,-,-,€ 3.7K,2019
 WeControl - GDPR...,Business software & HR,B2B,-,-,€ 80.4K,2018
 EVOESTATE,FinTech,"B2B, B2C, B2B2C",-,-,-,2019
 Factology.System...,CyberTech,B2B2C,-,-,-,2019
 SafeTraffic,Transportation & Logistics,B2B2C,-,-,-,2019
 Feniks Gaming Oü,Gaming,"B2B, C2C, B2C",1,-,-,2017
 JetBeep,FinTech,B2B,-,-,€ 57.3K,2020
 Furnum OÜ,Consumer products and services,B2B2C,-,-,-,2019
 Recoil OÜ,Advanced Manufacturing & Industry,"B2G, B2C",-,-,€ 2.8K,2018
 WiseDrive,Consumer products and services,"B2B, B2C",-,-,€ 23K,2019
 Guide Now,TravelTech,B2C,-,-,-,2019
 AIcont,Business software & HR,B2B,1,-,-,2018
 Sellme,AdTech & Creative Tech,B2B,-,-,€ 27.9K,2018
 Workocto,Business software & HR,B2B,-,-,-,2018
 Talkie,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2018
 Hala.ai,Business software & HR,B2B,-,-,€ 1.3K,2017
 XZEN,FinTech,"B2B, B2C",-,-,-,2018
 Trumpauto,Business software & HR,B2B,-,-,€ 23.1K,2019
 fetchM,AdTech & Creative Tech,"B2C, B2B2C",1,-,-,2019
 Artineering,AdTech & Creative Tech,"B2B, B2B2C",-,-,€ 9K,2019
 PharmaWise,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,-,2019
 EnLife,PropTech & Construction,"B2B, B2B2C",-,-,"-€ 4,003",2016
 iotex,Communication,"B2B, C2C, B2C",-,-,-,2019
 Worqaround,Business software & HR,"B2B, B2C",-,-,-,2019
 Snabb,Business software & HR,B2B,-,-,-,2015
 Big Data Scoring,FinTech,-,-,-,€ 137K,2013
 Betterspot,CyberTech,-,-,-,-,2018
 Blockhive,FinTech,-,-,-,-,2017
 Bondkick,FinTech,-,-,-,€ 463.5K,2014
 Carbonific,CleanTech,-,-,-,-,2017
 MICEtribe,Business software & HR,B2B2C,-,-,-,2018
 Cyber Struggle,CyberTech,-,-,-,€ 62.9K,2019
 Esensorics,AgTech & FoodTech,B2B,-,-,€ 746,2015
 ForkLog Group OÜ,Communication,"B2B, B2C",-,-,€ 4.7K,2018
 Glocalzone,TravelTech,"C2C, B2C",-,-,€ 13.3K,2018
 Glowforth,Gaming,-,-,-,-,2012
 GoGoNano,Consumer products and services,"B2B, B2C",-,-,€ 21K,2013
 Heimdallr,Consumer products and services,-,-,-,-,2014
 Helpific,"HealthTech, Life sciences & Wellness",-,-,-,-,2014
 Link Labs,Consumer products and services,"B2B, B2B2C",-,-,€ 19.8K,2016
 Lurento,Transportation & Logistics,-,-,-,-,2015
 Maakler,PropTech & Construction,-,-,-,€ 30,2015
 Maxify Group,Business software & HR,-,-,-,-,2015
 Netiarst,"HealthTech, Life sciences & Wellness",-,-,-,€ 293,2015
 Pay4results,AdTech & Creative Tech,-,-,-,-,2012
 Pluss ID,Consumer products and services,-,-,-,€ 25.8K,2013
 SafeToAct,"HealthTech, Life sciences & Wellness",-,-,-,-,2014
 smartbnb OÜ,Business software & HR,"B2B, B2B2C",-,-,€ 2.1M,2016
 Somno,Business software & HR,-,2,-,-,2015
 spicetone,AdTech & Creative Tech,-,-,-,€ 555,2013
 Stepshot,Business software & HR,-,-,-,-,2016
 Timey,AgTech & FoodTech,-,-,-,-,2018
 Paratus,CyberTech,"B2B, B2G",-,-,€ 1.4K,2019
 Toitla,AgTech & FoodTech,-,-,-,€ 3.7K,2015
 trainedon,Business software & HR,-,-,-,€ 467.4K,2013
 upitech,"HealthTech, Life sciences & Wellness",-,-,-,-,2014
 velmenni,Communication,-,-,-,-,2014
 VITS,Business software & HR,B2B,-,-,-,2019
 WePower,CleanTech,-,-,-,-,2018
 MediaHub Labs,AdTech & Creative Tech,-,-,-,€ 2.1K,2017
 ulip,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,€ 1.1K,2018
 Taskutark,EdTech,B2C,-,-,-,2013
 SupplierPlus,FinTech,"B2B, B2G",-,-,-,2015
 Pernimo,AdTech & Creative Tech,-,-,-,€ 22.7K,2019
 Rokkex,FinTech,-,1,-,-,2019
 OMVAPT,CyberTech,B2B2C,-,-,-,2019
 REXXBN,FinTech,"B2B, B2B2C",-,-,€ 14.9K,2019
 Burationo,FinTech,-,-,-,-,2019
 Montonio,FinTech,"B2B, B2B2C",-,-,-,2018
 Multiwebpay,FinTech,"B2B, C2C, B2B2C",1,-,-,2018
 Docsify,AdTech & Creative Tech,-,-,-,€ 6.4K,2016
 Eventify Life,AdTech & Creative Tech,-,-,-,€ 8.8K,2018
 Rimuut,FinTech,B2B,-,-,€ 6.7M,2017
 Malkarak OU,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,€ 36.4K,2018
 Protribe Sports ...,AdTech & Creative Tech,"B2C, B2B2C",-,-,-,2018
 UXDN,Business software & HR,B2B,-,-,-,2019
 GearShare,AdTech & Creative Tech,-,-,-,-,2018
 Marketorient,AdTech & Creative Tech,-,-,-,-,2018
 Scribble Pen Inc...,Consumer products and services,-,-,-,-,2019
 TravelGee.AI,TravelTech,-,-,-,-,2019
 Ideasgym,EdTech,"B2B, B2C",-,-,-,2019
 iValut,FinTech,-,1,-,-,2019
 Kingdom,AgTech & FoodTech,B2B,-,-,-,2018
 Ninja Solutions,PropTech & Construction,-,-,-,-,2012
 Tymap,Transportation & Logistics,B2B2C,-,-,€ 4.1K,2019
 NetNigma,Business software & HR,B2B,-,-,-,2018
 inn4pet,Business software & HR,B2B2C,-,-,-,2019
 Riddletag.com,FinTech,"B2B, B2G, B2B2C",-,-,-,2019
 Endangered Wildl...,FinTech,"B2B, B2G, C2C, B2C, B2B2C",-,-,-,2019
 KURSLAB,EdTech,B2C,-,-,-,2019
 Hotspoter,Business software & HR,B2B,-,-,-,2019
 FiPME,Gaming,"B2B, C2C, B2C, B2B2C",-,-,€ 303,2018
 Loyalty Lab,AdTech & Creative Tech,"B2B, B2B2C",-,-,-,2019
 BITLEVEX,FinTech,"B2C, B2B2C",-,-,-,2019
 Timetrix,Business software & HR,B2B,-,-,-,2019
 LastingSales,AdTech & Creative Tech,B2B,-,-,-,2019
 Hustler Marketin...,AdTech & Creative Tech,"B2B, B2B2C",-,-,€ 576.8K,2018
 Prebook24,Communication,B2B2C,-,-,-,2019
 Graspic,Consumer products and services,"B2C, B2B2C",-,-,-,2018
 LXMI.IO,FinTech,B2C,-,-,-,2019
 TaxChaser,FinTech,B2B2C,-,-,-,2019
 Arf,FinTech,"B2B, B2C, B2B2C",-,-,€ 87.9K,2019
 Rocket DAO,FinTech,"B2B, B2C",-,-,€ 5.6K,2018
 Shipper_,FinTech,"B2B, C2C",-,-,-,2019
 KoduLine,PropTech & Construction,B2B2C,-,-,€ 3.4K,2019
 TradersAlloy,FinTech,B2C,-,-,-,2018
 Lokimo,TravelTech,B2B2C,-,-,€ 1.7K,2017
 Premium BettingT...,Gaming,"B2B, B2B2C",1,-,€ 8K,2016
 InteriorStyler,AdTech & Creative Tech,"B2B, B2B2C",-,-,-,2019
 PILATRE,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2019
 zyffy,Consumer products and services,"B2B, C2C, B2C, B2B2C",-,-,-,2017
 Lelu,Consumer products and services,B2C,-,-,-,2019
 Paysic,FinTech,"B2B, C2C, B2C, B2B2C",-,-,-,2019
 My Power Farm,CleanTech,B2B2C,1,-,€ 872.2K,2019
 Grappel Technolo...,Business software & HR,"B2B, B2B2C",-,-,-,2019
 Joulup,CleanTech,"B2B, B2G",-,-,-,2019
 Recovery Compani...,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2019
 Smart Touch Syst...,Consumer products and services,B2B2C,-,-,-,2019
 CASERS,Business software & HR,"B2B, B2B2C",-,-,-,2019
 Techgate Solutio...,Business software & HR,B2B,-,-,-,2018
 GLIS,Transportation & Logistics,"B2B, B2C, B2B2C",-,-,-,2019
 Kodiplus,Consumer products and services,B2B2C,-,-,-,2018
 RevealedThreats,CyberTech,"B2B, B2G, B2C, B2B2C",-,-,-,2019
 iVCV,Business software & HR,B2B,-,-,€ 18.2K,2019
 ProcurementFlow....,Business software & HR,B2B,-,-,€ 11.5K,2019
 Dream Contract,Business software & HR,B2B,-,-,-,2019
 Kiri,Business software & HR,B2B,-,-,-,2019
 healBED,"HealthTech, Life sciences & Wellness","B2B, B2B2C",-,-,€ 8.5K,2016
 Gymwolf,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,-,2019
 flexaa,Business software & HR,"B2B, B2G, B2B2C",1,-,-,2020
 iOnPrint,Consumer products and services,B2B,-,-,-,2020
 GlobalMarketingS...,Business software & HR,B2B,-,-,-,2020
 Excellent Jobs,Business software & HR,"B2B, B2B2C",-,-,-,2016
 ticketsell,AdTech & Creative Tech,B2B,-,-,-,2019
 PIPE,FinTech,B2B,-,-,-,2019
 Woodspot,AgTech & FoodTech,B2B,-,-,-,2019
 Dorfer Games,Gaming,B2B2C,-,-,€ 146.9K,2019
 Hastli,Business software & HR,"B2B, B2C, B2B2C",-,-,-,2020
 Sharewell,Business software & HR,B2B,-,-,-,2020
 CropInsTech,FinTech,B2B,-,-,€ 74,2019
 Deep Vantage,Business software & HR,B2B,1,-,-,2018
 Flokk,Consumer products and services,B2C,-,-,-,2019
 TimeGiven,"HealthTech, Life sciences & Wellness",B2C,-,-,€ 2.1K,2017
 Car Gateway,Transportation & Logistics,"B2B, B2B2C",-,-,-,2019
 Voicie,Communication,B2B,-,-,-,2019
 Marc Wise,Transportation & Logistics,"B2B, C2C, B2C",-,-,-,2018
 HELPMYTASK,Consumer products and services,"C2C, B2B2C",-,-,-,2019
 Velmio,"HealthTech, Life sciences & Wellness",B2C,-,-,-,2019
 FINDE,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2019
 Pocketpet,"HealthTech, Life sciences & Wellness",B2B2C,1,-,-,2019
 EduScape,EdTech,B2C,-,-,-,2019
 REXWOOD Mobile S...,Advanced Manufacturing & Industry,"B2B, B2C, B2B2C",-,-,€ 3.8K,2012
 WeGoTrip,TravelTech,"B2G, B2C",-,-,€ 451.6K,2019
 Shoperb,AdTech & Creative Tech,B2B,-,-,-,2014
 Qoffer,Business software & HR,B2B2C,-,-,-,2019
 Cryptoradar,FinTech,B2B2C,-,-,-,2018
 SendGB,Communication,"B2B, B2C",-,-,€ 12.5K,2019
 Persius,AdTech & Creative Tech,"B2B, B2C",-,-,-,2019
 LexyPass,TravelTech,B2C,-,-,-,2019
 todZ,Business software & HR,"B2B, B2C",-,-,€ 3.8K,2019
 Waredock,Transportation & Logistics,B2B,-,-,€ 88.8K,2019
 Carrynet OÜ,Transportation & Logistics,"B2B, C2C",-,-,-,2019
 BizHive OÜ,Business software & HR,"B2B, B2B2C",-,-,-,2020
 WehireAI,Business software & HR,"B2B, B2C, B2B2C",-,-,-,2021
 Ezefs,Business software & HR,"B2B, C2C, B2C",-,-,€ 1.7K,2021
 Wunderbit,FinTech,"B2B, B2C",-,-,-,2018
 KWAD,SpaceTech,"B2B, B2G, B2C",-,-,€ 20,2019
 POSTOPLAN,AdTech & Creative Tech,B2B,-,-,€ 231.8K,2019
 Copilot,Business software & HR,"B2B, B2C",-,-,-,2019
 myCarBI.com,Business software & HR,B2B,-,-,-,2019
 Jetpaxs,TravelTech,"B2B, B2G, C2C, B2C, B2B2C",-,-,-,2019
 Shopalythics,Business software & HR,B2B,-,-,-,2015
 PlasmaPay,FinTech,"B2B, B2G, C2C, B2C, B2B2C",-,-,-,2018
 Shegby,TravelTech,"C2C, B2C",-,-,-,2020
 Speys,Transportation & Logistics,B2B,-,-,-,2016
 Taskeo,Business software & HR,"B2B, B2B2C",-,-,€ 6.2K,2018
 Hablo,"HealthTech, Life sciences & Wellness",B2C,-,-,-,2020
 DUCKT,Transportation & Logistics,"B2B, B2G",-,-,-,2020
 YouTravel.me,TravelTech,"C2C, B2B2C",-,-,€ 32.9K,2019
 ISACHAMP,EdTech,"C2C, B2C, B2B2C",-,-,-,2019
 PayGo,PropTech & Construction,B2B,-,-,€ 21.9K,2019
 Workspace,Business software & HR,B2B,-,-,-,2019
 BePrime,Consumer products and services,B2C,-,-,-,2019
 Cooltivate,CleanTech,B2C,-,-,-,2018
 VUUHH,Business software & HR,"B2B, B2G, B2B2C",-,-,-,2018
 Delivery Hack,Transportation & Logistics,B2B,-,-,€ 14.2K,2019
 HotLead,Consumer products and services,"B2B, C2C, B2C",-,-,€ 15,2020
 SEO.do,Business software & HR,B2B,-,-,-,2019
 Turbo Anchor,Business software & HR,"B2B, B2C, B2B2C",-,-,-,2019
 Nudre,TravelTech,B2B,-,-,-,2019
 vARVR,Advanced Manufacturing & Industry,B2B,-,-,-,2019
 Stylush,Consumer products and services,B2B2C,-,-,-,2019
 UnicornCoach,Communication,B2B2C,-,-,-,2019
 SKYCORP,SpaceTech,"B2B, B2G",2,-,€ 10.3K,2017
 Binker,FinTech,B2C,-,-,-,2018
 ScanAuris,Consumer products and services,B2B2C,-,-,€ 3.5K,2019
 TaskUs,Consumer products and services,"B2B, C2C, B2C, B2B2C",-,-,-,2018
 Share Force One,Business software & HR,-,-,-,-,2020
 Nemo,AdTech & Creative Tech,"B2B, B2C",-,-,-,2018
 Taut,EdTech,"B2B, B2G, B2C",-,-,€ 9.1K,2019
 xappfactory,AdTech & Creative Tech,"B2B, B2C, B2B2C",6,-,€ 11.8K,2020
 Estinext,FinTech,"B2B, B2C",-,-,-,2018
 GrandTime,"HealthTech, Life sciences & Wellness",B2C,-,-,-,2019
 Lixi Invest,FinTech,B2C,-,-,€ 142.6K,2018
 Sunmill,CleanTech,"B2B, B2C",-,-,€ 42.4K,2020
 One Click Feedba...,Business software & HR,"B2B, B2B2C",-,-,-,2020
 Cleanagent,Consumer products and services,B2B2C,-,-,-,2019
 MASC,"HealthTech, Life sciences & Wellness","B2B, B2G",-,-,-,2020
 ProdCamp,Communication,B2B,-,-,€ 741,2020
 Diocreations OÜ,Business software & HR,"C2C, B2C, B2B2C",-,-,-,2018
 FF or Future Fun...,FinTech,"B2B, B2G, C2C, B2C, B2B2C",-,-,-,2019
 Brickfy,FinTech,B2B2C,-,-,€ 40,2019
 C-yber,CyberTech,"B2B, B2G, C2C, B2C, B2B2C",-,-,€ 4K,2019
 Wisora Financial...,FinTech,"B2B, B2G",-,-,€ 6K,2020
 CyberWiseSpace,CyberTech,B2B,-,-,-,2020
 Rapid Bio-Labs O...,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2019
 ChordChord,Consumer products and services,"B2C, B2B2C",-,-,€ 49.8K,2019
 SetGo,Business software & HR,B2B,-,-,€ 2.1K,2019
 MD Agency,AdTech & Creative Tech,B2B,-,-,€ 153,2019
 VERILOGY,CyberTech,B2B,-,-,-,2020
 SPARQ OU,FinTech,"B2B, B2C",-,-,-,2019
 TeamTwist,Communication,B2B,-,-,-,2021
 MyDogData.com,Consumer products and services,"C2C, B2C",-,-,-,2018
 Tribe Funding,FinTech,"B2C, B2B2C",-,-,€ 41,2020
 ClickLog,Transportation & Logistics,B2B,-,-,€ 10K,2016
 LyncMe,AdTech & Creative Tech,"B2B, B2B2C",-,-,-,2019
 Cappture Softwar...,Business software & HR,B2B,-,-,-,2020
 Portmone,CyberTech,"B2B, B2B2C",-,-,-,2020
 Eliko RTLS,Advanced Manufacturing & Industry,B2B,1,-,€ 121.7K,2019
 PRIVATRON,Business software & HR,B2B,-,-,-,2019
 SolveitNOW,EdTech,B2C,-,-,-,2019
 AuctionVilla.IO,AdTech & Creative Tech,"B2B, C2C, B2C",-,-,-,2020
 Immuniti,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,-,2020
 ZOdish,AgTech & FoodTech,"B2B, B2C, B2B2C",-,-,-,2020
 ARN,TravelTech,"B2B, B2G, B2C",-,-,-,2020
 Stardust,Consumer products and services,"B2C, B2B2C",-,-,-,2020
 Moowle,PropTech & Construction,"B2B, B2C",-,-,-,2017
 Hello Experto,TravelTech,C2C,-,-,-,2020
 Vriendly,Gaming,"B2B, B2G",-,-,-,2021
 FastJobs,Business software & HR,"B2B, C2C, B2C",-,-,-,2020
 Tech Scene,Business software & HR,B2B,-,-,-,2020
 KBaas,Communication,B2B,-,-,-,2020
 eVAT,Business software & HR,"B2B, B2G",-,-,€ 494,2018
 Eranova,SpaceTech,"B2B, B2G",-,-,-,2020
 Rampy,Communication,B2C,-,-,-,2020
 Skyrocket Your T...,Business software & HR,B2B,-,-,-,2020
 PROXXIFY,Consumer products and services,"B2B, B2B2C",-,-,-,2020
 BruceBEM,PropTech & Construction,B2B,-,-,-,2018
 Car4Future Techn...,Transportation & Logistics,"B2B, C2C, B2C, B2B2C",-,-,-,2019
 Hopa Fit,"HealthTech, Life sciences & Wellness",B2B2C,-,-,-,2019
 Swice,Consumer products and services,"B2B, B2C",-,-,-,2020
 Polite,FinTech,B2B2C,-,-,-,2019
 Introwise,Business software & HR,B2B,-,-,-,2019
 DataGateway OÜ,CyberTech,"B2B, B2G, C2C, B2C",-,-,-,2019
 KideoCall,EdTech,B2C,-,-,-,2021
 Capnavi,Communication,"B2B, B2G",-,-,-,2018
 Zilculator,PropTech & Construction,"B2B, B2C",-,-,€ 9.5K,2018
 RouteRavel,TravelTech,"B2C, B2B2C",-,-,-,2020
 TaLoG,Transportation & Logistics,B2B,-,-,€ 275,2020
 Beholder,Business software & HR,B2B,-,-,-,2018
 Gigagig,AdTech & Creative Tech,"C2C, B2C, B2B2C",-,-,-,2020
 HODLNG,FinTech,"B2B, B2G",-,-,-,2019
 Linster,FinTech,B2C,-,-,-,2018
